Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,provincia_id,año_id
2018,4,Córdoba,328854,355716,17675,21851,13243,737339,5,4
2018,4,Corrientes,55842,42418,796,1515,30,100601,6,4
2018,4,Entre Ríos,101168,86198,4853,15472,14356,222047,7,4
2018,4,Formosa,22619,7880,887,13761,57,45204,8,4
2018,4,Jujuy,33248,12484,153,640,43608,90133,9,4
2018,4,La Pampa,18832,55337,2685,7772,1010,85636,10,4
2018,4,La Rioja,16367,34984,12,252,36,51651,11,4
2018,4,Mendoza,148524,40205,5665,10363,1547,206304,12,4
2018,4,Misiones,55500,53673,465,426,6209,116273,13,4
2018,4,Neuquén,40747,55634,3115,12425,2444,114365,14,4
2018,4,Río Negro,68377,34292,1299,8037,4832,116837,15,4
2018,4,Salta,74295,57539,638,253,1853,134578,16,4
2018,4,San Juan,51660,5838,806,2883,1211,62398,17,4
2018,4,San Luis,11108,7784,378,53097,23964,96331,18,4
2018,4,Santa Cruz,10659,4615,382,6378,2734,24768,19,4
2018,4,Santa Fe,335519,322782,14387,18705,28997,720390,20,4
2018,4,Santiago Del Estero,25339,61243,23,2649,81,89335,21,4
2018,4,Tierra Del Fuego,19789,23349,1623,0,1499,46260,22,4
2018,4,Tucumán,159215,11670,119,686,314,172004,23,4
2018,3,Buenos Aires,1435856,1929273,156382,62318,26448,3610277,0,4
2018,3,Capital Federal,334353,1009252,35694,3872,9319,1392490,1,4
